draw,arm,gas_sigma,co2_sigma,gas_shift,co2_shift,mean_spread,separated_pct
73,ntc,0.831909,0.472075,7.606287,3.560532,18.917175,53.125000
74,ntc,-0.505272,0.400716,-4.619783,3.022323,16.964751,62.847222
75,ntc,0.268495,-1.395969,2.454898,-10.528821,14.411961,53.125000
76,ntc,0.518162,0.850921,4.737641,6.417904,19.150835,57.291667
77,ntc,0.622872,-1.814944,5.695023,-13.688861,14.188449,51.041667
78,ntc,0.700726,0.009768,6.406853,0.073670,17.817752,53.125000
79,ntc,-1.779104,-0.870308,-16.266642,-6.564128,13.862439,65.972222
80,ntc,0.069709,2.186651,0.637364,16.492381,21.334904,62.847222
81,ntc,-0.981155,0.356665,-8.970861,2.690074,16.681504,64.930556
82,ntc,0.389930,-0.122366,3.565198,-0.922919,17.044276,56.250000
83,ntc,1.903815,1.436139,17.406898,10.831798,22.495671,49.305556
84,ntc,0.428374,1.298665,3.916696,9.794927,19.939710,57.638889
85,ntc,1.091892,0.361890,9.983349,2.729483,19.062422,52.430556
86,ntc,-0.424523,0.053825,-3.881489,0.405962,16.274333,62.152778
87,ntc,-0.067693,-0.294762,-0.618926,-2.223188,16.011261,59.027778
88,ntc,1.620783,1.583100,14.819090,11.940218,22.276266,51.388889
89,ntc,0.596966,-0.709376,5.458159,-5.350330,16.237529,52.777778
90,ntc,1.373417,0.551147,12.557380,4.156914,19.837953,50.347222
91,ntc,-0.910425,-0.374050,-8.324168,-2.821196,15.213955,64.583333
92,ntc,0.936719,2.106122,8.564582,15.885014,22.285870,56.944444
93,ntc,-0.782356,1.335692,-7.153213,10.074195,18.780858,64.583333
94,ntc,-0.591623,-1.183315,-5.409305,-8.924919,13.709611,61.458333
95,ntc,0.306574,1.162675,2.803057,8.769244,19.489523,59.027778
96,ntc,-1.239496,-0.089781,-11.332923,-0.677152,15.724292,65.972222
97,ntc,-0.335739,-0.643146,-3.069714,-4.850803,14.943276,59.722222
98,ntc,1.504212,-0.591016,13.753261,-4.457620,17.912686,48.958333
99,ntc,-1.291436,0.473556,-11.807814,3.571701,16.878421,65.972222
100,ntc,2.407292,-0.358616,22.010276,-2.704793,19.834212,47.222222
1,mnp,2.197113,-0.114972,20.088577,-0.867153,28.667775,65.277778
2,mnp,-1.736009,-0.193904,-15.872620,-1.462481,20.802147,75.347222
3,mnp,-0.264830,-1.496459,-2.421383,-11.286751,19.687504,71.875000
4,mnp,1.007578,-1.010333,9.212452,-7.620239,23.785927,66.666667
5,mnp,1.048992,1.827961,9.591113,13.787036,31.690594,71.527778
6,mnp,0.137185,0.765495,1.254307,5.773599,26.628624,72.222222
7,mnp,0.180876,-1.178794,1.653784,-8.890823,21.557083,70.833333
8,mnp,-0.726146,-0.936657,-6.639270,-7.064553,20.196211,72.569444
9,mnp,0.031736,0.328496,0.290167,2.477615,25.196604,72.222222
10,mnp,-0.146882,1.714839,-1.342964,12.933833,28.682948,72.916667
11,mnp,0.340603,0.364038,3.114187,2.745684,26.044573,71.180556
12,mnp,0.281521,-0.432807,2.573990,-3.264358,23.774075,71.180556
13,mnp,-1.104597,-0.833954,-10.099512,-6.289933,19.876848,72.569444
14,mnp,0.538449,-0.060128,4.923133,-0.453506,25.435427,70.833333
15,mnp,-0.668212,-0.770415,-6.109576,-5.810702,20.736459,72.569444
16,mnp,1.197022,-0.727034,10.944571,-5.483507,24.966014,67.013889
17,mnp,0.238674,0.350753,2.182239,2.645486,25.726811,71.527778
18,mnp,-2.083870,0.171015,-19.053177,1.289849,21.021546,75.347222
19,mnp,-0.569262,0.276542,-5.204858,2.085761,23.776548,72.569444
20,mnp,-1.368704,0.548568,-12.514294,4.137464,23.519038,74.652778
21,mnp,-0.826108,-2.747357,-7.553241,-20.721402,15.366333,73.263889
22,mnp,0.361224,0.113311,3.302732,0.854625,25.421923,71.180556
23,mnp,-2.034675,-0.688846,-18.603378,-5.195487,18.787530,75.347222
24,mnp,-0.450022,-1.526510,-4.114629,-11.513400,19.233624,72.916667
25,mnp,1.134207,1.735230,10.370242,13.087630,31.617206,70.833333
26,mnp,0.742427,1.239212,6.788137,9.346515,29.397240,71.180556
27,mnp,-1.609917,-0.611588,-14.719742,-4.612785,19.849737,75.000000
28,mnp,-1.502852,-0.664543,-13.740825,-5.012187,19.862518,73.958333
29,mnp,-0.041075,0.404953,-0.375554,3.054279,25.238706,72.222222
30,mnp,-2.420971,-1.215444,-22.135342,-9.167248,16.390734,75.347222
31,mnp,-1.136930,-0.693633,-10.395139,-5.231589,20.220498,72.569444
32,mnp,-1.005003,-0.270930,-9.188914,-2.043434,21.553600,72.569444
33,mnp,1.275404,1.810060,11.661228,13.652019,32.105935,70.486111
34,mnp,0.781727,0.758113,7.147457,5.717916,28.191459,70.833333
35,mnp,-0.089200,2.308047,-0.815569,17.407988,30.530489,73.263889
36,mnp,-0.744382,-1.086713,-6.806013,-8.196316,19.767782,72.916667
37,mnp,0.987486,-0.067784,9.028755,-0.511248,26.335831,69.097222
38,mnp,-0.121814,0.557868,-1.113767,4.207608,25.454523,72.916667
39,mnp,-0.297779,-0.250337,-2.722643,-1.888116,22.847283,72.569444
40,mnp,0.580996,0.974336,5.312140,7.348739,28.283353,71.180556
41,mnp,-0.158012,-0.715770,-1.444732,-5.398553,21.952196,71.875000
42,mnp,-1.443540,-1.096104,-13.198533,-8.267149,18.716448,73.611111
43,mnp,-0.236189,0.314682,-2.159513,2.373427,24.503122,72.916667
44,mnp,0.086571,0.184545,0.791530,1.391892,24.943403,71.875000
45,mnp,0.494676,0.221072,4.522906,1.667392,26.046887,71.180556
46,mnp,-0.022110,0.393309,-0.202156,2.966457,25.249482,72.222222
47,mnp,-0.330310,-0.796405,-3.020076,-6.006727,21.347343,72.222222
48,mnp,0.456290,0.616913,4.171933,4.652942,27.021654,70.833333
49,mnp,1.459019,0.692542,13.340060,5.223360,29.384155,66.666667
50,mnp,0.022777,0.131268,0.208251,0.990064,24.654274,71.875000
51,mnp,1.334060,1.687591,12.197536,12.728325,31.877111,70.138889
52,mnp,-0.479891,0.459232,-4.387726,3.463664,24.447188,72.569444
53,mnp,-0.201312,0.690235,-1.840634,5.205964,25.625824,72.569444
54,mnp,-0.206654,-0.474738,-1.889468,-3.580618,22.496165,72.222222
55,mnp,0.656936,-1.405683,6.006480,-10.602086,22.055411,68.402778
56,mnp,0.102862,-1.652424,0.940488,-12.463082,20.113032,70.833333
57,mnp,-0.935771,-0.427069,-8.555911,-3.221082,21.206274,72.569444
58,mnp,-0.684515,-0.987008,-6.258637,-7.444313,20.129537,72.916667
59,mnp,-0.549305,0.367226,-5.022391,2.769728,24.062967,72.569444
60,mnp,-0.619270,0.740180,-5.662090,5.582660,25.015140,72.569444
61,mnp,-0.379534,1.170664,-3.470139,8.829499,26.684948,72.569444
62,mnp,1.765113,-0.386586,16.138721,-2.915748,27.041582,66.666667
63,mnp,0.221338,0.147888,2.023726,1.115415,25.144016,71.180556
64,mnp,-1.176453,-1.301087,-10.756506,-9.813196,18.535346,72.916667
65,mnp,-1.073413,-0.395793,-9.814397,-2.985188,21.104114,72.569444
66,mnp,0.710821,-0.130352,6.499158,-0.983156,25.613673,70.486111
67,mnp,0.158731,-0.540829,1.451304,-4.079095,23.146631,71.180556
68,mnp,1.743400,-0.645626,15.940200,-4.869505,26.294290,66.666667
69,mnp,-0.869565,-2.062660,-7.950578,-15.557210,17.076285,73.263889
70,mnp,-0.411622,1.072182,-3.763531,8.086718,26.334459,72.569444
71,mnp,0.845476,-0.161735,7.730328,-1.219856,25.803633,70.138889
72,mnp,0.886412,-0.474531,8.104611,-3.579058,25.017672,69.097222
73,mnp,0.831909,0.472075,7.606287,3.560532,27.540299,70.486111
74,mnp,-0.505272,0.400716,-4.619783,3.022323,24.231185,72.569444
75,mnp,0.268495,-1.395969,2.454898,-10.528821,21.202760,70.486111
76,mnp,0.518162,0.850921,4.737641,6.417904,27.798035,70.833333
77,mnp,0.622872,-1.814944,5.695023,-13.688861,20.902432,68.055556
78,mnp,0.700726,0.009768,6.406853,0.073670,25.984168,70.486111
79,mnp,-1.779104,-0.870308,-16.266642,-6.564128,18.846073,75.000000
80,mnp,0.069709,2.186651,0.637364,16.492381,30.443027,72.916667
81,mnp,-0.981155,0.356665,-8.970861,2.690074,23.339143,72.916667
82,mnp,0.389930,-0.122366,3.565198,-0.922919,24.874065,71.180556
83,mnp,1.903815,1.436139,17.406898,10.831798,32.353454,66.319444
84,mnp,0.428374,1.298665,3.916696,9.794927,28.783103,71.875000
85,mnp,1.091892,0.361890,9.983349,2.729483,27.732310,69.444444
86,mnp,-0.424523,0.053825,-3.881489,0.405962,23.375104,72.569444
87,mnp,-0.067693,-0.294762,-0.618926,-2.223188,23.297760,71.875000
88,mnp,1.620783,1.583100,14.819090,11.940218,32.180758,67.361111
89,mnp,0.596966,-0.709376,5.458159,-5.350330,23.800926,70.138889
90,mnp,1.373417,0.551147,12.557380,4.156914,28.811047,67.013889
91,mnp,-0.910425,-0.374050,-8.324168,-2.821196,21.390819,72.569444
92,mnp,0.936719,2.106122,8.564582,15.885014,32.213827,71.527778
93,mnp,-0.782356,1.335692,-7.153213,10.074195,26.431633,72.569444
94,mnp,-0.591623,-1.183315,-5.409305,-8.924919,19.804861,73.263889
95,mnp,0.306574,1.162675,2.803057,8.769244,28.110353,71.875000
96,mnp,-1.239496,-0.089781,-11.332923,-0.677152,21.787978,73.958333
97,mnp,-0.335739,-0.643146,-3.069714,-4.850803,21.744203,72.222222
98,mnp,1.504212,-0.591016,13.753261,-4.457620,25.998502,67.013889
99,mnp,-1.291436,0.473556,-11.807814,3.571701,23.365054,75.000000
100,mnp,2.407292,-0.358616,22.010276,-2.704793,28.459659,65.277778
1,cnec,2.197113,-0.114972,20.088577,-0.867153,36.454945,88.194444
2,cnec,-1.736009,-0.193904,-15.872620,-1.462481,26.654248,89.583333
3,cnec,-0.264830,-1.496459,-2.421383,-11.286751,24.965836,87.152778
4,cnec,1.007578,-1.010333,9.212452,-7.620239,30.277920,88.541667
